variable,posterior mean
u_m1,0.708074296
u_m1,0.497504412
u_m1,0.73680976
u_m1,0.462086576
u_m1,0.726115491
u_m1,0.469766416
u_m1,0.613561404
u_m1,0.610429271
u_m1,0.598402671
u_m1,0.669278723
u_m1,0.448392715
u_m1,0.604263314
u_m1,0.714544965
u_m1,0.724039639
u_m1,0.510549359
u_m1,0.498428984
u_m1,0.500181717
u_m1,0.504014751
u_m1,0.378059946
u_m1,0.528104371
u_m1,0.346036847
u_m1,0.700534795
u_m1,0.736201844
u_m1,0.507190865
u_m1,0.452819168
u_m1,0.516972985
u_m1,0.515187211
u_m1,0.548132113
u_m1,0.656191715
u_m1,0.602098469
u_m1,0.455400902
u_m1,0.517551219
u_m1,0.497530462
u_m1,0.442235785
u_m1,0.527250447
u_m1,0.743331109
u_m1,0.380550004
u_m1,0.696040378
u_m1,0.728708107
u_m1,0.740358345
u_m1,0.501740187
u_m1,0.516892343
u_m1,0.552096509
u_m1,0.782630384
u_m1,0.670088643
u_m1,0.502755514
u_m1,0.739973957
u_m1,0.495048179
u_m1,0.623523069
u_m1,0.548823859
u_m1,0.716931879
u_m1,0.510997102
u_m1,0.524999368
u_m1,0.500707356
u_m1,0.817529946
u_m1,0.611764118
u_m1,0.468425275
u_m1,0.540229143
u_m1,0.624421035
u_m1,0.501526329
u_m1,0.768324739
u_m1,0.501014423
u_m1,0.723103512
u_m1,0.582522405
u_m1,0.651771743
u_m1,0.526371037
u_m1,0.623397135
u_m1,0.528872645
u_m1,0.709448827
u_m1,0.496626219
u_m1,0.721028843
u_m1,0.869402836
u_m1,0.646953729
u_m1,0.536473843
u_m1,0.537710033
u_m1,0.699917405
u_m1,0.405623306
u_m1,0.592338794
u_m1,0.504479714
u_m1,0.383503624
u_m1,0.504126833
u_m1,0.496531202
u_m1,0.309234245
u_m1,0.336292018
u_m1,0.503659906
u_m1,0.49909615
u_m1,0.532333205
u_m1,0.546763631
u_m1,0.598144129
u_m1,0.377794174
u_m1,0.51926557
u_m1,0.515831087
u_m1,0.552149681
u_m1,0.511209118
u_m1,0.518813155
u_m1,0.228410203
u_m1,0.519966649
u_m1,0.750304438
u_m1,0.736089122
u_m1,0.516717711
u_m1,0.587872679
u_m1,0.584290889
u_m1,0.513361315
u_m1,0.68838264
u_m1,0.719983364
u_m1,0.505102319
u_m1,0.547319744
u_m1,0.525298559
u_m1,0.523941982
u_m1,0.645559917
u_m1,0.720537088
u_m1,0.559479967
u_m1,0.191682497
u_m1,0.500344295
u_m1,0.474102107
u_m1,0.591793979
u_m1,0.49727982
u_m1,0.517669213
u_m1,0.499645517
u_m1,0.414194959
u_m1,0.41684136
u_m1,0.651713907
u_m1,0.499858756
u_m1,0.544786378
u_m1,0.70589689
u_m1,0.78496606
u_m1,0.770820464
u_m1,0.550054995
u_m1,0.604338423
u_m1,0.498475443
u_m1,0.501888402
u_m1,0.544861249
u_m1,0.518254012
u_m1,0.574903279
u_m1,0.510725171
u_m1,0.582861067
u_m1,0.760096315
u_m1,0.781602308
u_m1,0.574140005
u_m1,0.437062829
u_m1,0.558327297
u_m1,0.498087331
u_m1,0.513601392
u_m1,0.504916025
u_m1,0.701980814
u_m1,0.710472373
u_m1,0.49861616
u_m1,0.467841311
u_m1,0.580296153
u_m1,0.534992662
u_m1,0.399321661
u_m1,0.497440935
u_m1,0.466319645
u_m1,0.513935097
u_m1,0.532820844
u_m1,0.794343124
u_m1,0.711938315
u_m1,0.498893626
u_m1,0.334673873
u_m1,0.486771569
u_m1,0.773251274
u_m1,0.495218368
u_m1,0.718433932
u_m1,0.459910455
u_m1,0.829976613
u_m1,0.231469511
u_m1,0.782868125
u_m1,0.591170528
u_m1,0.519977439
u_m1,0.648703755
u_m1,0.528413705
u_m1,0.642166901
u_m1,0.147702352
u_m1,0.541645596
u_m1,0.572157746
u_m1,0.575271196
u_m1,0.497685897
u_m1,0.78504489
u_m1,0.497080115
u_m1,0.468405805
u_m1,0.507216603
u_m1,0.647444492
u_m1,0.740696769
u_m1,0.653622735
u_m1,0.5443406
u_m1,0.500031314
u_m1,0.528300749
u_m1,0.364390849
u_m1,0.50174148
u_m1,0.538556637
u_m1,0.496082464
u_m1,0.667731839
u_m1,0.538051048
u_m1,0.545015712
u_m1,0.72607337
u_m1,0.503850381
u_m1,0.53915629
u_m1,0.501603267
u_m1,0.579335134
u_m1,0.658748656
u_m1,0.572149628
u_m1,0.752278811
u_m1,0.72434483
u_m1,0.575981193
u_m1,0.575541857
u_m1,0.464447848
u_m1,0.520005381
u_m1,0.774285877
u_m1,0.57599794
u_m1,0.501248349
u_m1,0.159121685
u_m1,0.506365331
u_m1,0.380837587
u_m1,0.644977521
u_m1,0.327653632
u_m1,0.527289578
u_m1,0.722210399
u_m1,0.502777686
u_m1,0.499352594
u_m1,0.761266759
u_m1,0.498398703
u_m1,0.831411502
u_m1,0.567317331
u_m1,0.500091895
u_m1,0.700110236
u_m1,0.699201502
u_m1,0.389271252
u_m1,0.619399525
u_m1,0.514927209
u_m1,0.503317148
u_m1,0.717182441
u_m1,0.695165775
u_m1,0.561368515
u_m1,0.583766069
u_m1,0.50377469
u_m1,0.502672422
u_m1,0.763833241
u_m1,0.548558064
u_m1,0.704931465
u_m1,0.556734597
u_m1,0.441362082
u_m1,0.528485832
u_m1,0.607862702
u_m1,0.4972622
u_m1,0.751268535
u_m1,0.485965853
u_m1,0.642509658
u_m1,0.547880197
u_m1,0.541708376
u_m1,0.578115177
u_m1,0.510453238
u_m1,0.56678652
u_m1,0.502253728
u_m1,0.58824096
u_m1,0.650727006
u_m1,0.739323182
u_m1,0.493195239
u_m1,0.451031519
u_m1,0.781145983
u_m1,0.517217149
u_m1,0.463344076
u_m1,0.620420647
u_m1,0.528353327
u_m1,0.457888828
u_m1,0.74303357
u_m1,0.776532493
u_m1,0.517390804
u_m1,0.510324475
u_m1,0.644647915
u_m1,0.726381438
u_m1,0.485190075
u_m1,0.342890626
u_m1,0.497701787
u_m1,0.576426215
u_m1,0.533690969
u_m1,0.538602574
u_m1,0.754330133
u_m1,0.558581215
u_m1,0.656840982
u_m1,0.62254435
u_m1,0.500007154
u_m1,0.706535238
u_m1,0.446684599
u_m1,0.539264441
u_m1,0.320683971
u_m1,0.694126296
u_m1,0.746338303
u_m1,0.502522407
u_m1,0.752400927
u_m1,0.728190543
u_m1,0.691027449
u_m1,0.503273192
u_m1,0.580029515
u_m1,0.541572044
u_m1,0.498571216
u_m1,0.516433979
u_m1,0.463330515
u_m1,0.67292563
u_m1,0.596532743
u_m1,0.372974964
u_m1,0.721035233
u_m1,0.51823276
u_m1,0.453155564
u_m1,0.990164824
u_m1,0.499924867
u_m1,0.547499119
u_m1,0.529419975
u_m1,0.454130224
u_m1,0.587769658
u_m1,0.44320812
u_m1,0.500018788
u_m1,0.499582055
u_m1,0.504595076
u_m1,0.564230857
u_m1,0.500105485
u_m1,0.522533955
u_m1,0.496498519
u_m1,0.507434051
u_m1,0.56649394
u_m1,0.523624934
u_m1,0.498852091
u_m1,0.501921931
u_m1,0.526456272
u_m1,0.520184328
u_m1,0.502082916
u_m1,0.857699569
u_m1,0.574838692
u_m1,0.533714075
u_m1,0.244317154
u_m1,0.276313281
u_m1,0.496655415
u_m1,0.644665394
u_m1,0.500824511
u_m1,0.737021793
u_m1,0.437426598
u_m1,0.579185567
u_m1,0.497127988
u_m1,0.499653781
u_m1,0.496416978
u_m1,0.706663544
u_m1,0.507014539
u_m1,0.484183813
u_m1,0.503481337
u_m1,0.574296088
u_m1,0.503252338
u_m1,0.510249781
u_m1,0.416280872
u_m1,0.500647498
u_m1,0.500373112
u_m1,0.640146009
u_m1,0.502430931
u_m1,0.552369816
u_m1,0.759865461
u_m1,0.497517075
u_m1,0.576791598
u_m1,0.726781973
u_m1,0.591561863
u_m1,0.519063106
u_m1,0.704453838
u_m1,0.751710556
u_m1,0.753064027
u_m1,0.769846138
u_m1,0.483618083
u_m1,0.500995695
u_m1,0.520537827
u_m1,0.726270041
u_m1,0.584351526
u_m1,0.521089902
u_m1,0.542632052
u_m1,0.519467472
u_m1,0.804560876
u_m1,0.622666246
u_m1,0.500774729
u_m1,0.500715417
u_m1,0.551004507
u_m1,0.509179338
u_m1,0.764506346
u_m1,0.573473844
u_m1,0.687255421
u_m1,0.400088794
u_m1,0.532565706
u_m1,0.573474937
u_m1,0.779843858
u_m1,0.488859402
u_m1,0.592604362
u_m1,0.509345958
u_m1,0.471494822
u_m1,0.487867362
u_m1,0.481672501
u_m1,0.441294727
u_m1,0.541551713
u_m1,0.57889268
u_m1,0.501700959
u_m1,0.528628809
u_m1,0.499928202
u_m1,0.49945058
u_m1,0.58014474
u_m1,0.51550255
u_m1,0.754544051
u_m1,0.586569553
u_m1,0.49935926
u_m1,0.538298845
u_m1,0.716591416
u_m1,0.634895438
u_m1,0.496397384
u_m1,0.647548513
u_m1,0.560242557
u_m1,0.5145941
